Fuente de agua	pH	Conductividad (microS/cm)	Turbidez (NTU)	Coliformes (UFC/100mL)
Fuente 1		7.2		300							0.4					0
Fuente 2		7.5		450							0.6					0
Fuente 3		7.0		350							0.5					0
Fuente 4		7.1		400							0.8					0
Fuente 5		7.3		250							0.3					0
Fuente 6		7.6		500							1.0					0
Fuente 7		7.2		350							0.6					0
Fuente 8		7.5		400							0.5					0
Fuente 9		6.8		300							0.7					0
Fuente 10		7.1		450							0.8					0
Fuente 11		7.0		250							0.4					0
Fuente 12		7.4		500							0.9					0
Fuente 13		7.2		400							0.6					0
Fuente 14		7.3		350							0.5					0
Fuente 15		7.1		300							0.7					0
Fuente 16		7.5		400							0.5					0
Fuente 17		7.0		450							0.8					0
Fuente 18		7.2		350							0.6					0
Fuente 19		7.3		500							0.9					0
Fuente 20		7.4		300							0.4					0
Fuente 21		7.1		400							0.5					0
Fuente 22		7.2		350							0.7					0
Fuente 23		6.7 	200							0.6 				0
Fuente 24		7.3 	300 						0.5 				0
Fuente 25		7.1 	400							0.8 				2
