Fuente de agua	pH	Conductividad (µS/cm)	Turbidez	Coliformes (UFC/100mL)
Fuente 1	7.2	305	0	0
Fuente 2	7.5	455	1	0
Fuente 3	7.0	355	1	0
Fuente 4	7.1	405	2	0
Fuente 5	7.3	255	0	1
Fuente 6	7.6	505	2	0
Fuente 7	7.2	355	1	0
Fuente 8	7.5	405	1	0
Fuente 9	6.8	305	1	2
Fuente 10	7.1	455	2	0
Fuente 11	7.0	255	0	0
Fuente 12	7.4	505	1	0
Fuente 13	7.2	405	1	0
Fuente 14	7.3	355	1	0
Fuente 15	7.1	305	2	0
Fuente 16	7.5	405	1	0
Fuente 17	7.0	455	2	0
Fuente 18	7.2	355	1	0
Fuente 19	7.3	505	1	0
Fuente 20	7.4	305	0	0
Fuente 21	7.1	405	1	0
Fuente 22	7.2	355	2	0
Fuente 23	6.7	205	1	0
Fuente 24	7.3	305	1	0
Fuente 25	7.1	405	2	2

