Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.3	310	3	0
Fuente_2	7.5	450	1	0
Fuente_3	7.1	360	2	0
Fuente_4	7.2	390	2	0
Fuente_5	7.4	240	1	0
Fuente_6	7.7	510	4	0
Fuente_7	7.3	370	2	0
Fuente_8	7.5	410	1	0
Fuente_9	6.9	300	3	0
Fuente_10	7.2	460	2	0
Fuente_11	7.1	260	1	0
Fuente_12	7.5	490	3	0
Fuente_13	7.3	390	2	0
Fuente_14	7.4	360	1	0
Fuente_15	7.2	310	3	0
Fuente_16	7.5	410	2	0
Fuente_17	7.1	460	1	0
Fuente_18	7.3	370	2	0
Fuente_19	7.4	520	3	0
Fuente_20	7.5	290	1	0
Fuente_21	7.2	380	2	0
Fuente_22	7.3	350	3	0
Fuente_23	6.8	210	1	0
Fuente_24	7.4	320	2	0
Fuente_25	7.2	420	1	2
