
Fuente de agua	pH	Conductividad (microS/cm)	Turbidez	Coliformes (UFC/100mL)
Fuente 1	7.3	450	3	0
Fuente 2	7.5	500	4	0
Fuente 3	7.2	550	2	2
Fuente 4	7.1	600	5	0
Fuente 5	7.4	400	1	0
Fuente 6	7.6	650	6	0
Fuente 7	7.3	550	3	1
Fuente 8	7.5	600	4	0
Fuente 9	6.9	450	2	0
Fuente 10	7.2	550	5	0
Fuente 11	7.1	400	1	0
Fuente 12	7.4	600	6	0
Fuente 13	7.3	500	3	0
Fuente 14	7.4	550	2	0
Fuente 15	7.1	450	5	0
Fuente 16	7.5	600	4	0
Fuente 17	7.0	550	1	0
Fuente 18	7.3	500	3	0
Fuente 19	7.4	650	6	3
Fuente 20	7.2	450	2	0
Fuente 21	7.3	500	4	0
Fuente 22	7.2	550	5	0
Fuente 23	6.8	300	2	0
Fuente 24	7.4	400	1	0
Fuente 25	7.1	600	3	2
