Fuente de agua    pH    Conductividad (microS/cm)    Turbidez (NTU)    Coliformes (UFC/100mL)
Fuente 1         7.3              320                         3                0
Fuente 2         6.9              480                         4                1
Fuente 3         7.0              360                         5                0
Fuente 4         7.5              420                         2                0
Fuente 5         7.2              280                         6                0
Fuente 6         7.1              520                         1                0
Fuente 7         7.4              380                         3                0
Fuente 8         7.0              400                         5                0
Fuente 9         7.2              340                         4                0
Fuente 10        6.8              450                         6                1
Fuente 11        7.5              420                         2                0
Fuente 12        7.1              500                         1                0
Fuente 13        7.3              360                         3                0
Fuente 14        7.0              280                         5                0
Fuente 15        7.2              520                         4                0
Fuente 16        7.4              400                         3                0
Fuente 17        6.9              340                         6                1
Fuente 18        7.5              450                         2                0
Fuente 19        7.1              380                         1                0
Fuente 20        7.0              320                         5                0
Fuente 21        7.3              500                         4                0
Fuente 22        7.2              420                         3                0
Fuente 23        6.8              360                         6                1
Fuente 24        7.4              520                         2                0
Fuente 25        7.0              400                         1                0
