Parametros	pH	Conductividad Turbidez Coliformes
Fuente_1	7.2 524	6	0
Fuente_2	7.1	411	2	1
Fuente_3	7.0	475	3	0
Fuente_4	7.3	529	4	2
Fuente_5	7.5	374	5	0
Fuente_6	7.4	549	2	0
Fuente_7	7.2	497	3	1
Fuente_8	7.1	312	4	0
Fuente_9	7.0	570	5	1
Fuente_10	7.3	414	6	0
Fuente_11	7.1	534	2	2
Fuente_12	7.0	463	3	0
Fuente_13	7.3	386	4	1
Fuente_14	7.5	508	5	0
Fuente_15	7.2	441	2	0
Fuente_16	7.4	358	3	1
Fuente_17	7.1	489	4	0
Fuente_18	7.0	529	5	2
Fuente_19	7.3	419	6	0
Fuente_20	7.1	479	2	1
Fuente_21	7.0	582	3	0
Fuente_22	7.3	463	4	1
Fuente_23	7.5	511	5	0
Fuente_24	7.2	397	2	2
Fuente_25	7.4	554	3	0
