Parametros pH Conductividad Turbidez Coliformes
Fuente_1  7.4	450	2	0
Fuente_2	7.1	350	3	0
Fuente_3	7.0	400	1	0
Fuente_4	7.2	300	4	0
Fuente_5	7.3	500	5	0
Fuente_6	7.6	250	6	0
Fuente_7	7.2	400	2	0
Fuente_8	7.5	350	3	0
Fuente_9	6.8	500	1	0
Fuente_10	7.1	300	4	0
Fuente_11	7.0	450	5	0
Fuente_12	7.4	350	6	0
Fuente_13	7.2	500	2	0
Fuente_14	7.3	300	3	0
Fuente_15	7.1	400	1	0
Fuente_16	7.5	250	4	0
Fuente_17	7.0	350	5	0
Fuente_18	7.2	450	6	0
Fuente_19	7.3	400	2	0
Fuente_20	7.4	300	3	0
Fuente_21	7.1	500	1	0
Fuente_22	7.2	350	4	0
Fuente_23	6.7	400	5	0
Fuente_24	7.3	250	6	0
Fuente_25	7.1	450	2	0
